Episode,Name,Count
HP 1,Harry Potter,1693
HP 1,Rubeus Hagrid,1443
HP 1,Ron Weasley,1065
HP 1,Hermione Granger,959
HP 1,Albus Dumbledore,722
HP 2,Harry Potter,2141
HP 2,Ron Weasley,888
HP 2,Gilderoy Lockhart,887
HP 2,Albus Dumbledore,760
HP 2,Hermione Granger,727
HP 3,Remus Lupin,1484
HP 3,Harry Potter,1333
HP 3,Hermione Granger,1024
HP 3,Ron Weasley,797
HP 3,Albus Dumbledore,635
HP 4,Albus Dumbledore,1415
HP 4,Harry Potter,1075
HP 4,Alastor Moody,841
HP 4,Ron Weasley,700
HP 4,Hermione Granger,658
HP 5,Harry Potter,1813
HP 5,Albus Dumbledore,1422
HP 5,Dolores Umbridge,875
HP 5,Hermione Granger,784
HP 5,Ron Weasley,374
HP 6,Horace Slughorn,2173
HP 6,Harry Potter,2054
HP 6,Albus Dumbledore,1958
HP 6,Hermione Granger,1074
HP 6,Ron Weasley,825
HP 7,Harry Potter,2211
HP 7,Hermione Granger,1923
HP 7,Ron Weasley,1699
HP 7,Voldemort,386
HP 7,Rufus Scrimgeour,337
HP 8,Harry Potter,1559
HP 8,Albus Dumbledore,730
HP 8,Voldemort,623
HP 8,Ron Weasley,530
HP 8,Severus Snape,442
