Episode,Name,Count
Philosopher's Stone,Harry Potter,1693
Chamber of Secrets,Harry Potter,2141
Prisoner of Azkaban,Harry Potter,1333
Goblet of Fire,Harry Potter,1075
Order of the Phoenix,Harry Potter,1813
Half-Blood Prince,Harry Potter,2054
Deathly Hallows Part 1,Harry Potter,2211
Deathly Hallows Part 2,Harry Potter,1559
Philosopher's Stone,Ron Weasley,1065
Chamber of Secrets,Ron Weasley,888
Prisoner of Azkaban,Ron Weasley,797
Goblet of Fire,Ron Weasley,700
Order of the Phoenix,Ron Weasley,374
Half-Blood Prince,Ron Weasley,825
Deathly Hallows Part 1,Ron Weasley,1699
Deathly Hallows Part 2,Ron Weasley,530
Philosopher's Stone,Hermione Granger,959
Chamber of Secrets,Hermione Granger,727
Prisoner of Azkaban,Hermione Granger,1024
Goblet of Fire,Hermione Granger,658
Order of the Phoenix,Hermione Granger,784
Half-Blood Prince,Hermione Granger,1074
Deathly Hallows Part 1,Hermione Granger,1923
Deathly Hallows Part 2,Hermione Granger,420
Philosopher's Stone,Albus Dumbledore,722
Chamber of Secrets,Albus Dumbledore,760
Prisoner of Azkaban,Albus Dumbledore,635
Goblet of Fire,Albus Dumbledore,1415
Order of the Phoenix,Albus Dumbledore,1422
Half-Blood Prince,Albus Dumbledore,1958
Deathly Hallows Part 2,Albus Dumbledore,730
Philosopher's Stone,Rubeus Hagrid,1443
Chamber of Secrets,Rubeus Hagrid,558
Prisoner of Azkaban,Rubeus Hagrid,580
Goblet of Fire,Rubeus Hagrid,253
Order of the Phoenix,Rubeus Hagrid,249
Half-Blood Prince,Rubeus Hagrid,233
Deathly Hallows Part 1,Rubeus Hagrid,155
