Name,Place,Count
Harry Potter,Griffindor Common Room,122
Harry Potter,Great Hall,116
Harry Potter,4 Privet Drive,89
Harry Potter,Ministry of Magic,86
Harry Potter,Headmaster's Office,81
Ron Weasley,Great Hall,85
Ron Weasley,Griffindor Common Room,84
Ron Weasley,Hogwarts Express,52
Ron Weasley,Forest of Dean,45
Ron Weasley,The Burrow,39
Hermione Granger,Great Hall,75
Hermione Granger,Griffindor Common Room,54
Hermione Granger,12 Grimmauld Place,49
Hermione Granger,Forest of Dean,47
Hermione Granger,Hagrid's Hut,41
Albus Dumbledore,Headmaster's Office,141
Albus Dumbledore,Pensieve,47
Albus Dumbledore,Great Hall,43
Albus Dumbledore,Astronomy Tower,33
Albus Dumbledore,The Cave,28
Rubeus Hagrid,Hagrid's Hut,76
Rubeus Hagrid,Forbidden Forest,36
Rubeus Hagrid,The Leaky Cauldron,16
Rubeus Hagrid,Hut-on-the-Rock,16
Rubeus Hagrid,Great Hall,11
